range,area,unit
"金芙蓉大道,规划路,金泉路,盛达街东",高新区,成都精策投资有限公司
"金芙蓉大道,规划路,金泉路,盛达街东",高新区,成都市鑫地建设投资有限责任公司
"火车北站扩能改造地方配套项目商贸大道二环路以南附条件协议搬迁项目红线范围内,,,",高新区,成都精策投资有限公司
"火车北站扩能改造地方配套项目商贸大道二环路以南附条件协议搬迁项目红线范围内,,,",高新区,成都市鑫地建设投资有限责任公司
"东临比华利国际城，南临华润凯旋天地，西临菱窠路，北临嘉和园用地边界,,,",高新区,四川中化锦城置业有限公司
"东临比华利国际城，南临华润凯旋天地，西临菱窠路，北临嘉和园用地边界,,,",高新区,四川天佑福成房屋拆迁有限公司
"庆宪街80号,通锦桥路109号,庆宪街88号,饮马河",青羊区,成都市青羊区统一建设办公室
"天乙街,康复路上街,康复路,公园路",青羊区,都江堰市危旧房改造中心
"东安南路,红星路二段,大慈寺路,如是庵街、福字街、望福街",锦江区,成都祥鹤房屋拆迁有限公司
"东安南路,红星路二段,大慈寺路,如是庵街、福字街、望福街",锦江区,成都金利房屋拆迁服务有限公司
"东安南路,红星路二段,大慈寺路,如是庵街、福字街、望福街",锦江区,成都市兴市政房屋拆迁有限公司
"互助路,顺沙巷,一环路北三段,先锋巷",金牛区,成都市金牛区人民政府荷花池街道办事处
"临江路7号道路,成昆线铁路,新建双流车站,昆华路南段",高新区,成都众志房屋拆迁有限公司
