金牛区	51.32
金牛区	58.25
金牛区	50.8
青羊区	49.21
武侯区	35.44
青羊区	58.72
青羊区	58.72
锦江区	59.06
金牛区	57.71
成华区	51.27
高新区	59.1
武侯区	58.69
锦江区	35.44
武侯区	58.18
青羊区	50.91
锦江区	50.02
锦江区	35.44
武侯区	35.44
青羊区	37.56
锦江区	35.44
武侯区	59.02
锦江区	57.67
高新区	59.1
锦江区	59.1
青羊区	59.02
青羊区	51.29
青羊区	51.29
青羊区	50.91
武侯区	58.21
锦江区	51.29
锦江区	35.44
高新区	35.44
锦江区	51.29
锦江区	58.21
锦江区	59.22
锦江区	58.8
高新区	35.44
青羊区	51.26
青羊区	51.26
金牛区	49.99
锦江区	58.18
锦江区	50.91
成华区	51.29
金牛区	49.98
锦江区	58.8
武侯区	58.8
锦江区	59.22
成华区	50.0
成华区	51.27
青羊区	57.71
金牛区	58.21
锦江区	35.06
成华区	35.06
青羊区	59.02
青羊区	59.02
锦江区	59.02
锦江区	59.02
青羊区	51.29
青羊区	51.29
锦江区	50.91
青羊区	51.27
青羊区	58.19
锦江区	50.89
锦江区	58.69
武侯区	58.69
锦江区	59.1
锦江区	59.1
锦江区	35.44
锦江区	35.44
锦江区	37.56
锦江区	35.44
青羊区	35.44
青羊区	59.14
锦江区	58.21
成华区	50.91
金牛区	50.94
金牛区	58.25
青羊区	50.05
金牛区	50.05
锦江区	58.25
锦江区	50.05
锦江区	51.32
锦江区	51.29
青羊区	51.32
武侯区	51.32
武侯区	38.51
青羊区	35.51
锦江区	35.44
锦江区	35.44
金牛区	49.21
金牛区	48.48
青羊区	49.03
武侯区	59.02
青羊区	50.72
锦江区	58.19
锦江区	51.27
金牛区	58.59
青羊区	58.84
武侯区	58.84
锦江区	59.1
青羊区	35.44
金牛区	35.44
锦江区	51.33
武侯区	35.44
锦江区	58.21
锦江区	50.02
成华区	50.0
青羊区	50.89
锦江区	58.84
武侯区	58.59
青羊区	59.21
成华区	58.69
金牛区	58.84
武侯区	59.02
成华区	48.48
金牛区	48.97
金牛区	58.69
高新区	59.14
锦江区	59.14
锦江区	35.44
成华区	35.44
锦江区	59.43
武侯区	55.44
武侯区	54.48
锦江区	50.36
锦江区	59.1
高新区	59.02
锦江区	58.69
成华区	59.14
成华区	59.09
成华区	60.26
金牛区	50.8
青羊区	49.99
青羊区	50.74
锦江区	49.03
青羊区	48.91
金牛区	35.44
武侯区	50.05
金牛区	50.05
锦江区	50.8
武侯区	50.94
青羊区	50.8
成华区	49.21
高新区	50.05
高新区	50.05
武侯区	39.82
金牛区	36.77
金牛区	38.72
青羊区	37.56
青羊区	37.56
青羊区	35.51
金牛区	49.03
金牛区	49.03
锦江区	49.85
锦江区	49.85
金牛区	50.1
金牛区	50.1
武侯区	59.02
高新区	59.1
锦江区	59.1
金牛区	58.69
武侯区	59.02
金牛区	58.21
锦江区	59.21
金牛区	58.84
金牛区	59.21
青羊区	58.84
成华区	59.21
武侯区	58.72
金牛区	48.97
成华区	58.59
成华区	58.59
锦江区	58.84
高新区	59.21
青羊区	49.14
高新区	59.14
武侯区	59.14
青羊区	59.14
金牛区	63.25
金牛区	63.11
青羊区	59.14
武侯区	35.4
锦江区	59.09
金牛区	59.44
青羊区	38.71
高新区	48.97
武侯区	49.21
青羊区	49.21
青羊区	49.21
成华区	49.03
成华区	49.03
锦江区	48.48
成华区	48.97
高新区	41.5
金牛区	41.64
金牛区	49.03
金牛区	49.03
金牛区	49.03
锦江区	48.48
青羊区	47.99
锦江区	49.99
成华区	37.56
锦江区	58.25
锦江区	50.8
高新区	50.05
金牛区	34.97
锦江区	48.8
成华区	49.85
成华区	49.85
成华区	48.06
武侯区	59.22
武侯区	59.22
锦江区	59.22
青羊区	59.14
成华区	58.18
锦江区	58.18
锦江区	58.18
金牛区	57.79
武侯区	59.14
武侯区	59.14
高新区	58.8
锦江区	58.8
金牛区	59.06
锦江区	57.71
锦江区	59.06
锦江区	51.29
金牛区	59.06
金牛区	59.06
高新区	59.14
金牛区	59.06
金牛区	59.06
武侯区	35.44
金牛区	35.44
成华区	49.6
青羊区	49.11
青羊区	49.11
武侯区	58.89
武侯区	49.32
武侯区	49.46
青羊区	49.32
金牛区	58.89
青羊区	49.4
青羊区	49.4
金牛区	49.4
武侯区	48.86
锦江区	48.86
金牛区	39.03
青羊区	60.07
金牛区	49.11
青羊区	60.28
青羊区	38.48
武侯区	37.76
青羊区	60.07
金牛区	49.6
金牛区	49.6
青羊区	39.03
武侯区	39.87
高新区	58.89
高新区	49.32
高新区	49.32
金牛区	58.89
金牛区	52.12
青羊区	38.94
青羊区	38.94
金牛区	39.01
金牛区	60.28
金牛区	37.76
成华区	57.99
金牛区	58.07
金牛区	49.13
金牛区	57.99
金牛区	49.13
金牛区	58.07
金牛区	58.07
成华区	49.13
高新区	42.39
武侯区	52.73
锦江区	40.34
锦江区	40.34
金牛区	40.34
武侯区	40.34
锦江区	40.34
金牛区	49.6
武侯区	60.28
武侯区	48.59
金牛区	37.76
金牛区	37.76
青羊区	49.52
金牛区	49.52
金牛区	48.86
武侯区	48.68
锦江区	60.07
金牛区	38.94
金牛区	60.28
青羊区	60.64
成华区	38.12
青羊区	38.48
锦江区	50.07
成华区	49.6
金牛区	49.11
武侯区	45.66
金牛区	60.07
成华区	49.6
青羊区	60.28
武侯区	49.6
金牛区	60.07
武侯区	58.69
武侯区	59.1
武侯区	59.1
武侯区	49.4
金牛区	49.46
高新区	49.32
金牛区	49.32
青羊区	58.89
武侯区	40.74
成华区	40.83
青羊区	39.93
成华区	57.99
青羊区	39.03
青羊区	60.07
成华区	59.71
金牛区	49.82
锦江区	38.94
青羊区	38.94
青羊区	38.94
青羊区	38.94
锦江区	39.01
青羊区	38.86
青羊区	48.76
金牛区	58.77
锦江区	41.5
青羊区	41.64
锦江区	59.15
青羊区	41.5
金牛区	35.4
成华区	59.15
金牛区	59.14
成华区	58.77
成华区	58.77
金牛区	39.03
青羊区	60.28
锦江区	60.07
锦江区	38.48
金牛区	50.41
金牛区	38.94
武侯区	38.94
金牛区	39.01
成华区	49.32
锦江区	49.46
锦江区	49.46
锦江区	39.8
青羊区	58.89
锦江区	38.94
金牛区	38.94
锦江区	40.34
青羊区	40.34
锦江区	40.34
成华区	40.34
锦江区	40.34
锦江区	40.34
锦江区	40.34
锦江区	40.34
金牛区	49.82
青羊区	38.94
青羊区	60.07
金牛区	50.74
青羊区	38.94
锦江区	48.86
成华区	48.86
青羊区	48.77
青羊区	48.77
青羊区	48.77
青羊区	49.11
锦江区	51.27
金牛区	39.01
金牛区	49.83
锦江区	60.07
